,DIVIDENDID,EXDATE,PAYDATE,RECORDDATE,ANNOUNCEDDATE,DIVAMOUNT,TRADINGITEMID,EXCHANGEID,CURRENCYID,DIVFREQTYPEID,DIVIDENDTYPEID,SUPPLEMENTALTYPEID,NETAMOUNT,GROSSAMOUNT,DIVIDENDPAYMENTTYPEID,DIVIDENDPAYMENTTYPENAME,SUPPLEMENTALTYPEID,SUPPLEMENTALTYPENAME
0,10631001,2026-02-02,2026-02-04,2026-02-02,2026-01-08,0.273826,33733516,117.0,160.0,1.0,1,1.0,,0.273826,1.0,Cash,1.0,Regular cash dividend
1,10631000,2026-02-02,2026-02-04,2026-02-02,2026-01-09,0.277454,33733515,117.0,160.0,1.0,1,1.0,,0.277454,1.0,Cash,1.0,Regular cash dividend
2,10631002,2026-02-02,2026-02-04,2026-02-02,2026-01-07,0.265834,33733517,117.0,160.0,1.0,1,1.0,,0.265834,1.0,Cash,1.0,Regular cash dividend
3,10631005,2026-02-02,2026-02-04,2026-02-02,2026-01-08,0.1398,309919517,117.0,160.0,1.0,1,1.0,,0.1398,1.0,Cash,1.0,Regular cash dividend
4,10630933,2026-01-30,2026-02-03,2026-01-30,2026-01-15,0.106846,546670679,117.0,160.0,1.0,1,1.0,,0.106846,1.0,Cash,1.0,Regular cash dividend
5,10630969,2026-01-30,2026-02-05,2026-01-30,2026-01-29,0.207,1955300489,117.0,160.0,1.0,1,1.0,,0.207,1.0,Cash,1.0,Regular cash dividend
6,10630901,2026-01-30,2026-02-02,2026-01-30,2026-01-29,0.1114,1791499571,117.0,160.0,1.0,1,1.0,,0.1114,1.0,Cash,1.0,Regular cash dividend
7,10630940,2026-01-30,2026-02-03,2026-01-30,2026-01-13,0.0733,531921792,117.0,160.0,1.0,1,1.0,,0.0733,1.0,Cash,1.0,Regular cash dividend
8,10630899,2026-01-30,2026-02-02,2026-01-30,2026-01-29,0.0767,1679217580,117.0,160.0,1.0,1,1.0,,0.0767,1.0,Cash,1.0,Regular cash dividend
9,10630900,2026-01-30,2026-02-02,2026-01-30,2026-01-29,0.0675,1791499570,117.0,160.0,1.0,1,1.0,,0.0675,1.0,Cash,1.0,Regular cash dividend
10,10630931,2026-01-30,2026-02-03,2026-01-30,2026-01-13,0.098322,426931745,117.0,160.0,1.0,1,1.0,,0.098322,1.0,Cash,1.0,Regular cash dividend
11,10630954,2026-01-30,2026-02-05,2026-01-30,2026-01-29,0.181912,686286984,117.0,160.0,1.0,1,1.0,,0.181912,1.0,Cash,1.0,Regular cash dividend
12,10630973,2026-01-30,2026-02-05,2026-01-30,2026-01-29,0.2071,1875393409,106.0,160.0,1.0,1,1.0,,0.2071,1.0,Cash,1.0,Regular cash dividend
13,10630955,2026-01-30,2026-02-05,2026-01-30,2026-01-29,0.210239,576724889,117.0,160.0,1.0,1,1.0,,0.210239,1.0,Cash,1.0,Regular cash dividend
14,10629960,2026-01-29,2026-02-02,2026-01-29,2026-01-28,0.175,272925420,117.0,160.0,1.0,1,1.0,,0.175,1.0,Cash,1.0,Regular cash dividend
15,10629958,2026-01-29,2026-02-02,2026-01-29,2026-01-28,0.236,570843073,117.0,160.0,1.0,1,1.0,,0.236,1.0,Cash,1.0,Regular cash dividend
16,10629924,2026-01-29,2026-01-30,2026-01-29,2026-01-14,0.215,1792530424,117.0,160.0,1.0,1,1.0,,0.215,1.0,Cash,1.0,Regular cash dividend
17,10629961,2026-01-29,2026-02-02,2026-01-29,2026-01-28,0.146,272925419,117.0,160.0,1.0,1,1.0,,0.146,1.0,Cash,1.0,Regular cash dividend
18,10629644,2026-01-29,2026-02-02,2026-01-29,,0.166,560654901,810.0,160.0,1.0,1,1.0,,,1.0,Cash,1.0,Regular cash dividend
19,10629959,2026-01-29,2026-02-02,2026-01-29,2026-01-28,0.168,272925421,117.0,160.0,1.0,1,1.0,,0.168,1.0,Cash,1.0,Regular cash dividend
20,10629954,2026-01-29,2026-02-02,2026-01-29,2026-01-28,0.047,1674017890,117.0,160.0,1.0,1,1.0,,0.047,1.0,Cash,1.0,Regular cash dividend
21,10627903,2026-01-28,2026-01-29,2026-01-28,,0.10332,632049972,810.0,160.0,1.0,1,1.0,,,1.0,Cash,1.0,Regular cash dividend
22,10627901,2026-01-28,2026-01-29,2026-01-28,,0.47062,632049970,810.0,160.0,1.0,1,1.0,,,1.0,Cash,1.0,Regular cash dividend
23,10627904,2026-01-28,2026-01-29,2026-01-28,,0.27079,632049973,810.0,160.0,1.0,1,1.0,,,1.0,Cash,1.0,Regular cash dividend
24,10627900,2026-01-28,2026-01-29,2026-01-28,,0.11966,694443104,810.0,160.0,1.0,1,1.0,,,1.0,Cash,1.0,Regular cash dividend
25,10627905,2026-01-28,2026-01-29,2026-01-28,,0.33393,632049974,810.0,160.0,1.0,1,1.0,,,1.0,Cash,1.0,Regular cash dividend
26,10626854,2026-01-27,2026-01-29,2026-01-27,2025-12-10,0.055,27666965,117.0,160.0,1.0,1,1.0,,0.055,1.0,Cash,1.0,Regular cash dividend
27,10626853,2026-01-27,2026-01-29,2026-01-27,2025-12-10,0.195,27666964,117.0,160.0,1.0,1,1.0,,0.195,1.0,Cash,1.0,Regular cash dividend
28,10626768,2026-01-27,2026-01-29,2026-01-27,2026-01-26,0.025,240741182,104.0,160.0,1.0,1,1.0,,,1.0,Cash,1.0,Regular cash dividend
29,10626852,2026-01-27,2026-01-29,2026-01-27,2025-12-09,0.065,27666963,117.0,160.0,1.0,1,1.0,,0.065,1.0,Cash,1.0,Regular cash dividend
30,10626765,2026-01-27,2026-01-29,2026-01-27,,0.23,332077449,810.0,160.0,1.0,1,1.0,,,1.0,Cash,1.0,Regular cash dividend
31,10626860,2026-01-27,2026-01-29,2026-01-27,2025-12-09,0.155,256507140,117.0,160.0,1.0,1,1.0,,0.155,1.0,Cash,1.0,Regular cash dividend
32,10626857,2026-01-27,2026-01-29,2026-01-27,2025-12-09,0.16,306410417,117.0,160.0,1.0,1,1.0,,0.16,1.0,Cash,1.0,Regular cash dividend
33,10626822,2026-01-27,2026-01-30,2026-01-27,2026-01-26,0.25,1855793515,117.0,160.0,1.0,1,1.0,,0.25,1.0,Cash,1.0,Regular cash dividend
34,10626767,2026-01-27,2026-01-29,2026-01-27,2026-01-26,0.00757,234672040,104.0,160.0,1.0,1,1.0,,,1.0,Cash,1.0,Regular cash dividend
35,10626856,2026-01-27,2026-01-29,2026-01-27,2025-12-09,0.00856,27666968,117.0,160.0,1.0,1,1.0,,0.00856,1.0,Cash,1.0,Regular cash dividend
36,10626855,2026-01-27,2026-01-29,2026-01-27,2025-12-10,0.035,27666967,117.0,160.0,1.0,1,1.0,,0.035,1.0,Cash,1.0,Regular cash dividend
37,10624173,2026-01-22,2026-01-26,2026-01-22,2026-01-21,0.16,539640972,117.0,160.0,1.0,1,1.0,,0.16,1.0,Cash,1.0,Regular cash dividend
38,10623174,2026-01-21,2026-01-30,2026-01-21,2026-01-03,0.0775,571285487,117.0,160.0,1.0,1,1.0,,0.0775,1.0,Cash,1.0,Regular cash dividend
